year,iu_code,prevalence (%),endemicity,therapeutic_coverage,total_population,population_requiring_treatment,population_treated,epidemiological_coverage (% of the population that required treatment and recieved such),mda_rounds,effective_mda_rounds (≥65% coverage),effective_mda_classification (≥65% coverage)
2023,NGA0377736377,,0.0,0.0,262566.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,NGA0377736378,,2.0,2.0,77516.0,77516.0,33738.0,43.52,1.0,0.0,0.0
2015,NGA0377736378,,2.0,2.0,79554.0,79553.0,29230.0,36.74,2.0,0.0,0.0
2016,NGA0377736378,,2.0,1.0,81543.0,81542.0,0.0,0.0,2.0,0.0,0.0
2017,NGA0377736378,,2.0,3.0,83581.0,83581.0,65565.0,78.44,3.0,1.0,1.0
2018,NGA0377736378,,2.0,3.0,85671.0,85670.0,66150.0,77.21,4.0,2.0,1.0
2019,NGA0377736378,,2.0,3.0,87813.0,87813.0,69532.0,79.18,5.0,3.0,1.0
2020,NGA0377736378,,2.0,3.0,89836.0,89836.0,71743.0,79.86,6.0,4.0,1.0
2021,NGA0377736378,,2.0,3.0,92163.0,92163.0,73538.0,79.79,7.0,5.0,1.0
2022,NGA0377736378,0.0,2.0,1.0,94564.0,94564.0,0.0,0.0,7.0,5.0,0.0
2023,NGA0377736378,,2.0,1.0,96929.0,0.0,0.0,0.0,7.0,5.0,0.0
2014,NGA0377736379,,0.0,0.0,234454.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0377736379,,0.0,0.0,240616.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0377736379,,0.0,0.0,246631.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0377736379,,0.0,0.0,252797.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0377736379,,0.0,0.0,259117.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,NGA0377736379,,0.0,0.0,265595.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NGA0377736379,,0.0,0.0,271716.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NGA0377736379,,0.0,0.0,278753.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NGA0377736379,,0.0,0.0,286017.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,NGA0377736379,,0.0,0.0,293167.0,0.0,0.0,0.0,0.0,0.0,0.0
